English	Dutch	Spanish	Item	Cognate.Spanish.English	Cognate.Spanish.Dutch	Cognate.Dutch.English	Compound.Dutch	Compound.Spanish	Compound.English	Picture	Audio_Spanish	Stem_Eng	Stem_Dutch	Stem_Spa	Eng_Acc	Dutch_Acc	Final 	FreqNLCelexLog	FreqNLCelexMl	FreqENGCelexMl	FreqSubtlexNLLg	FreqSubtlexENGLg	WordLength_EN	WordLength_ES	Condition 
lighter	aansteker	mechero	1	non-cognate	non-cognate	non-cognate	0	0	0	lighter.png	mechero.wav	l	aan	me	0.875	1	1	0.7782	6	0	2.4031	4.13	2	3	2
mop	dweil	fregona	3	non-cognate	non-cognate	non-cognate	0	0	0	mop.png	fregona.wav	m	dw	fre			1	0.4771	3	2	1.8692	3.46	1	3	2
mushroom	paddenstoel	hongo	1	non-cognate	non-cognate	non-cognate	1	0	0	mushroom.png	hongo.wav	m	pa	hon	0.916666667	0.94	1	1.716	52	1	3.5947	3.15	2	2	2
peach	perzik	melocotón	1	non-cognate	non-cognate	non-cognate	0	0	0	peach.png	melocotón.wav	p	per	me	0.775	0.85	1	0.6021	4	2	2.0043	3.62	1	4	2
pocket	broekzak	bolsillo	1	non-cognate	non-cognate	non-cognate		0	0	pocket.png	bolsillo.wav	pock	broek	bol	#N/A	#N/A	1	0.9542	9	22	2.0682	4.63	2	3	2
ruler	liniaal	regla	3	non-cognate	non-cognate	non-cognate	0	0	0	ruler.png	regla.wav	ru	li	re			1	0	1	7	1.3979	3.63	2	2	2
sausage	worst	salchicha	1	non-cognate	non-cognate	non-cognate	0	0	0	sausage.png	salchicha.wav	sau	w	sal	0.944444444	0.916666667	1	10.414	11	2	2.5855	4.23	2	3	2
seal	zeehond	foca	0	non-cognate	non-cognate	non-cognate		0	0	seal.png	foca.wav	s	zee	fo	#N/A	#N/A	1	0.301	2	2	1.415	4.28	1	2	2
shark	haai	tiburón	1	non-cognate	non-cognate	non-cognate	0	0	0	shark.png	tiburón.wav	sh	h	ti	1	1	1	0.4771	3	1	2.617	4.17	1	3	2
shovel	schep	pala	1	non-cognate	non-cognate	non-cognate	0	0	0	shovel.png	pala.wav	sho	sch	pa	0.75	0.9	1	0	1	3	2.3075	3.55	2	2	2
swing	schommel	columpio	1	non-cognate	non-cognate	non-cognate	0	0	0	swing.png	columpio.wav	s	schom	co	0.777777778	1	1	0.301	2	10	1.8451	4.46	1	3	2
tray	dienblad	bandeja	0	non-cognate	non-cognate	non-cognate		0	0	tray.png	bandeja.wav	t	dien	ban	#N/A	#N/A	1	0.699	5	4	1.7404	4.15	1	3	2
zipper	rits	cremallera	1	non-cognate	non-cognate	non-cognate	0	0	0	zipper.png	cremallera.wav	zip	r	cre	0.916666667	1	1	0.4771	3	0	2.2833	2.42	2	4	2
arrow	pijl	flecha	1	non-cognate	non-cognate	non-cognate	0	0	0	arrow.png	flecha.wav	ar	p	fle	0.861111111	0.944444444	1	12.041	16	21	2.4942	3.78	2	2	
back	rug	espalda	0	non-cognate	non-cognate	non-cognate		0	0	back.png	espalda.wav	b	r	es	#N/A	#N/A	1	22.553	180	147	3.5483	6.25	1	3	
belt	riem	cinturón	1	non-cognate	non-cognate	non-cognate	0	0	0	belt.png	cinturón.wav	b	r	cin	0.75	0.9	1	13.424	22	17	2.7924	4.32	1	3	
bird	vogel	pájaro	0	non-cognate	non-cognate	non-cognate	0	0	0	bird.png	pájaro.wav	b	vo	pá	0.972222222	0.944444444	0	19.823	96	33	3.1498	4.85	1	3	
blanket	deken	manta	1	non-cognate	non-cognate	non-cognate	0	0	0	blanket.png	manta.wav	blan	de	man	0.725	0.8	1	15.185	33	10	2.7938	3.93	2	2	
branch	tak	rama	3	non-cognate	non-cognate	non-cognate	0	0	0	branch.png	rama.wav	b	t	ra			0	17.324	54	30	2.5705	4.1	1	2	
bullet	kogel	bala	0	non-cognate	non-cognate	non-cognate	0	0	0	bullet.png	bala.wav	bul	ko	ba	0.825	0.975	1	14.624	29	4	3.2817	4.08	2	2	
cage	kooi	jaula	1	non-cognate	non-cognate	non-cognate	0	0	0	cage.png	jaula.wav	c	k	jau	0.777777778	0.805555556	1	13.617	23	3	2.7818	4.03	1	2	
can	blik	lata	3	non-cognate	non-cognate	non-cognate	0	0	0	can.png	lata.wav	c	b	la			0	22.742	188	2	3.2006	6.56	1	2	
candle	kaars	vela	1	non-cognate	non-cognate	non-cognate	0	0	0	candle.png	vela.wav	can	k	ve	0.975	1	1	13.617	23	5	2.4116	3.79	2	2	
car	auto	coche	0	non-cognate	non-cognate	non-cognate	0	0	0	car.png	coche.wav	c	au	co	1	1	0	23.181	208	366	4.3017	5.44	1	2	
chain	ketting	cadena	0	non-cognate	non-cognate	non-cognate	0	0	0	chain.png	cadena.wav	ch	ket	ca	0.805555556	0.925	1	1.301	20	18	2.9232	4.49	1	3	
chest	borst	pecho	0	non-cognate	non-cognate	non-cognate		0	0	chest.png	pecho.wav	ch	b	pe	#N/A	#N/A	0	20.531	113	9	3.0667	4.48	1	2	
cloud	wolk	nube	0	non-cognate	non-cognate	non-cognate	0	0	0	cloud.png	nube.wav	c	w	nu	0.9	0.95	1	16.812	48	17	2.3784	4.77	1	2	
coat	jas	abrigo	0	non-cognate	non-cognate	non-cognate	0	0	0	coat.png	abrigo.wav	c	j	a	0.65	0.95	0	16.902	49	16	3.3233	4.41	1	3	
