English	Dutch	Spanish	Item	Cognate.Spanish.English	Cognate.Spanish.Dutch	Cognate.Dutch.English	Compound.Dutch	Compound.Spanish	Compound.English	Picture	Audio_Spanish	Stem_Eng	Stem_Dutch	Stem_Spa	Eng_Acc	Dutch_Acc	Final 	FreqNLCelexLog	FreqNLCelexMl	FreqENGCelexMl	FreqSubtlexNLLg	FreqSubtlexENGLg	Condition	Syllable_Spa
pocket	broekzak	bolsillo	1	non-cognate	non-cognate	non-cognate		0	0	pocket.png	bolsillo.wav	pock	broek	bol	#N/A	#N/A	1	0,9542	9	22	2,0682	4,63	2	3
whip	zweep	látigo	0	non-cognate	non-cognate	non-cognate	0	0	0	whip.png	látigo.wav	w	z	lá	#N/A	#N/A	1	0,9542	9	10	2,3304	4,08	2	3
frog	kikker	rana	0	non-cognate	non-cognate	non-cognate	0	0	0	frog.png	rana.wav	f	kik	ra	0,875	0,95	1	0,9542	9	13	2,5575	4,05	2	2
scarf	sjaal	bufanda	1	non-cognate	non-cognate	non-cognate	0	0	0	scarf.png	bufanda.wav	s	s	bu	0,861111111	0,972222222	1	1	10	4	2,3674	3,76	2	3
nail	spijker	clavo	1	non-cognate	non-cognate	non-cognate	0	0	0	nail.png	clavo.wav	n	spij	cla	0,8	0,95	1	1	10	15	2,1931	4,18	2	2
drum	trommel	tambor	1	non-cognate	non-cognate	non-cognate		0	0	drum.png	tambor.wav	d	trom	tam	#N/A	#N/A	1	1,301	20	9	1,9138	4,33	2	2
doll	pop	muñeca	1	non-cognate	non-cognate	non-cognate	0	0	0	doll.png	muñeca.wav	d	p	mu	0,944444444	1	1	1,301	20	2	3,0195	4,07	2	3
chain	ketting	cadena	0	non-cognate	non-cognate	non-cognate	0	0	0	chain.png	cadena.wav	ch	ket	ca	0,805555556	0,925	1	1,301	20	18	2,9232	4,49	2	3
basket	mand	canasta	3	non-cognate	non-cognate	non-cognate	0	0	0	basket.png	canasta.wav	bas	m	ca			1	1,301	20	2	2,2765	4,16	2	3
mushroom	paddenstoel	hongo	1	non-cognate	non-cognate	non-cognate	1	0	0	mushroom.png	hongo.wav	m	pa	hon	0,916666667	0,94	1	1,716	52	1	3,5947	3,15	2	2
bone	bot 	hueso	1	non-cognate	non-cognate	non-cognate	0	0	0	bone.png	hueso.wav	b	b	hue	0,925	1	1	1,716	52	1	3,5947	3,15	2	2
bull 	stier	toro	0	non-cognate	non-cognate	non-cognate		0	0	bull .png	toro.wav	b	s	to	#N/A	#N/A	1	1,716	52	1	3,5947	3,15	2	2
bridge	brug	puente	0	non-cognate	non-cognate	non-cognate	0	0	0	bridge.png	puente.wav	b	b	puen	0,925	0,975	1	1,716	52	81	3,2851	4,71	2	2
chair	stoel	silla	0	non-cognate	non-cognate	non-cognate	0	0	0	chair.png	silla.wav	ch	s	si	1	1	1	2,179	151	26	3,3502	4,66	2	2
